ArticleID,Source,race,race_w2v,cigarillos,cigarillos_w2v,youth,youth_w2v,egal_w2v,ind_w2v,protest,riot,michael_brown,dead_blacks,n_words
daily159,DailyMail,6.0,0.13630954331,0.0,0.0464647852431,0.0,0.0968429880428,0.102522082308,0.113832003365,3,0,1,0,377
daily160,DailyMail,3.0,0.0961484261158,0.0,0.041468174511,0.0,0.0757912719046,0.0894325482366,0.0930231281688,1,0,0,0,354
daily161,DailyMail,2.0,0.141875502692,0.0,0.053749286509,0.0,0.106072118464,0.119922448771,0.132703530918,1,1,1,0,372
dallas1,DallasMorningNews,1.0,0.123398334056,0.0,0.0502839198205,0.0,0.0906404434214,0.108000172206,0.118407567627,1,3,0,0,763
dallas2,DallasMorningNews,3.0,0.158110263863,0.0,0.0467631314539,0.0,0.0914640307656,0.147480583354,0.153820456415,0,0,0,0,343
dallas3,DallasMorningNews,0.0,0.122975519309,0.0,0.0410684248868,0.0,0.0955745218016,0.105308352036,0.120615272958,3,1,0,0,466
dallas4,DallasMorningNews,5.0,0.141834526411,0.0,0.0529112969609,0.0,0.0994637091714,0.117187437516,0.129925954053,3,0,1,0,476
dallas5,DallasMorningNews,10.0,0.140023892513,0.0,0.0495795505863,0.0,0.103164159105,0.114105077313,0.11932288723,3,0,1,0,839
dallas6,DallasMorningNews,1.0,0.12686834168,0.0,0.0453754470226,0.0,0.0892640962559,0.105414892563,0.112668327382,1,3,1,0,587
dallas7,DallasMorningNews,16.0,0.14325030303,0.0,0.0546154875852,0.0,0.108628114997,0.110109304033,0.120781458349,1,1,2,0,1375
dallas8,DallasMorningNews,7.0,0.124434862284,0.0,0.0536792024897,0.0,0.0997202400668,0.105718829768,0.114365730507,7,1,2,0,1221
dallas9,DallasMorningNews,3.0,0.125772735868,1.0,0.0621791210407,0.0,0.0952965893282,0.0953737666279,0.107098342844,5,1,3,0,1138
dallas10,DallasMorningNews,4.0,0.141125411526,0.0,0.05013577036,0.0,0.101442595761,0.130488898587,0.141403091039,0,1,0,0,833
dallas11,DallasMorningNews,4.0,0.130470989822,0.0,0.0502959019219,0.0,0.0933524878376,0.109874488075,0.118859394182,2,3,0,0,931
dallas12,DallasMorningNews,6.0,0.12980148909,0.0,0.0550613465726,0.0,0.0999757140654,0.0984782718324,0.109711345514,2,0,2,0,1032
dallas13,DallasMorningNews,16.0,0.141018595045,0.0,0.0520271985205,0.0,0.104467964015,0.112228131104,0.121687264131,5,1,2,0,1372
dallas14,DallasMorningNews,6.0,0.122990918441,0.0,0.0526581962396,0.0,0.0951405074771,0.096541335791,0.104863625615,12,1,1,0,1059
dallas15,DallasMorningNews,5.0,0.128125491053,0.0,0.0578217462297,0.0,0.0946263507839,0.102351218417,0.110500989594,4,0,1,0,979
dallas16,DallasMorningNews,3.0,0.125774129633,0.0,0.0544880162126,0.0,0.0941163872942,0.0956323984401,0.106978609857,3,1,1,0,1003
dallas17,DallasMorningNews,4.0,0.122657591961,0.0,0.0499799189633,0.0,0.0969423410254,0.098536076425,0.106123302164,6,0,1,0,1006
dallas18,DallasMorningNews,9.0,0.158640756757,0.0,0.0514237104626,0.0,0.0996960663209,0.138076062098,0.143164533889,3,0,0,0,469
dallas19,DallasMorningNews,5.0,0.122885576598,0.0,0.0479649540766,0.0,0.0932514284953,0.111218466142,0.120635821783,6,0,1,0,1224
dallas20,DallasMorningNews,1.0,0.122250783447,0.0,0.0415035504117,0.0,0.0986712648931,0.104030064274,0.114587764197,0,0,0,0,695
dallas21,DallasMorningNews,0.0,0.132964775696,0.0,0.0418863334728,0.0,0.09385827861,0.114285637246,0.128724517291,0,0,0,0,193
